folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
11,MobileNetV2,128,0.3,0.3,32,4,0.862500011920929,0.8616352081298828,0.856249988079071,0.862500011920929,0.8588123917579651,0.8576260805130005,0.7190729975700378,0.9369468092918396,1656.0,264.0,276.0,1644.0,21.143462657928467,0.5833333134651184,0.5719298124313354,0.6791666746139526,0.49166667461395264,0.624397337436676,0.5925880074501038,0.17109009623527527,0.6306423544883728,236.0,244.0,154.0,326.0,0.5015246868133545
12,MobileNetV2,128,0.3,0.3,32,19,0.984375,0.9843831062316895,0.9848958253860474,0.984375,0.9846301674842834,0.9849401116371155,0.9693067073822021,0.9994320273399353,1890.0,30.0,29.0,1891.0,51.20367479324341,0.7083333134651184,0.717391312122345,0.6875,0.7291666865348816,0.7030456066131592,0.6985297799110413,0.4175559878349304,0.7590234279632568,350.0,130.0,150.0,330.0,0.5001628398895264
13,MobileNetV2,128,0.3,0.3,32,12,0.956250011920929,0.9552549719810486,0.956250011920929,0.9552083611488342,0.9558081030845642,0.956175684928894,0.9115463495254517,0.9902616739273071,1834.0,86.0,84.0,1836.0,37.110209941864014,0.668749988079071,0.6687370538711548,0.6729166507720947,0.6666666865348816,0.6707691550254822,0.6709677577018738,0.339618980884552,0.7416753172874451,320.0,160.0,157.0,323.0,0.48471879959106445
14,MobileNetV2,128,0.3,0.3,32,9,0.9229166507720947,0.9235966801643372,0.9255208373069763,0.9234374761581421,0.9245151281356812,0.9255192279815674,0.8490371704101562,0.9761528968811035,1773.0,147.0,143.0,1777.0,33.73466110229492,0.6541666388511658,0.6624472737312317,0.6541666388511658,0.6666666865348816,0.6587258577346802,0.6576203107833862,0.3209740221500397,0.6832595467567444,320.0,160.0,166.0,314.0,0.5004734992980957
15,MobileNetV2,128,0.3,0.3,32,34,0.9781249761581421,0.9765990376472473,0.9781249761581421,0.9765625,0.9774093627929688,0.978112518787384,0.9548113942146301,0.9975613355636597,1875.0,45.0,42.0,1878.0,81.26696610450745,0.6854166388511658,0.6819126605987549,0.6833333373069763,0.6812499761581421,0.6833629012107849,0.6811697483062744,0.3647290766239166,0.7348306179046631,327.0,153.0,152.0,328.0,0.48565244674682617
16,MobileNetV2,128,0.3,0.3,32,7,0.9270833134651184,0.9255595803260803,0.9260416626930237,0.9255208373069763,0.9257853031158447,0.926174521446228,0.8517170548439026,0.9775561094284058,1777.0,143.0,142.0,1778.0,28.53988480567932,0.6958333253860474,0.712895393371582,0.6104166507720947,0.7541666626930237,0.6578327417373657,0.6587097644805908,0.3701273202896118,0.7457963824272156,362.0,118.0,187.0,293.0,0.5000009536743164
17,MobileNetV2,128,0.3,0.3,32,5,0.870312511920929,0.8718082308769226,0.8713541626930237,0.871874988079071,0.8716453313827515,0.8715269565582275,0.7435229420661926,0.9455009698867798,1674.0,246.0,247.0,1673.0,24.969054460525513,0.606249988079071,0.59765625,0.637499988079071,0.5708333253860474,0.6164502501487732,0.6129018068313599,0.20925799012184143,0.6186023950576782,274.0,206.0,174.0,306.0,0.5000078678131104
18,MobileNetV2,128,0.3,0.3,32,27,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932125210762024,0.9932765364646912,0.9864730834960938,0.9995081424713135,1907.0,13.0,13.0,1907.0,66.57150506973267,0.6958333253860474,0.696016788482666,0.6916666626930237,0.6979166865348816,0.6929893493652344,0.6952019333839417,0.38957011699676514,0.7447136044502258,335.0,145.0,148.0,332.0,0.48440074920654297
19,MobileNetV2,128,0.3,0.3,32,17,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9958333373069763,0.9999821186065674,1916.0,4.0,4.0,1916.0,48.50338435173035,0.7333333492279053,0.7329192757606506,0.737500011920929,0.731249988079071,0.7350961565971375,0.7360886931419373,0.46880194544792175,0.7724195718765259,351.0,129.0,126.0,354.0,0.5001473426818848
20,MobileNetV2,128,0.3,0.3,32,5,0.887499988079071,0.8870967626571655,0.8880208134651184,0.8869791626930237,0.8874198794364929,0.8883534073829651,0.7752186059951782,0.9499320387840271,1703.0,217.0,215.0,1705.0,24.20406460762024,0.5166666507720947,0.5186722278594971,0.5208333134651184,0.5166666507720947,0.5201601982116699,0.5179435610771179,0.037475571036338806,0.551842451095581,248.0,232.0,230.0,250.0,0.4708585739135742
